Backe;Färg;Nummer;Längd
Skidskolebacken;Grön;1;183
Barnbacken;Grön;2;209
Harlyckan;Grön;3;362
Björnidet;Grön;4;344
Trollriket nord;Grön;5;284
Trollriket syd;Grön;6;183
Kläppen Junior Snowpark;Grön;7;439
Trollslope;Grön;8;345
Skogsmusslingan;Grön;9;443
Skogssniglen;Grön;10;366
Rådjursstigen;Grön;11;1496
Lämmeltåget;Grön;12;2840
Hermelinsvängen;Blå;13;513
Hjorthornet;Grön;14;440
Mullvadsgången;Grön;15;544
Myrstigen;Grön;16;274
Grävlingsgrytet;Grön;17;416
Järvlunken;Blå;18;418
Utterleken;Blå;19;351
Humlan;Grön;20;384
Bäverdalen;Blå;21;1320
Fjällräven;Blå;22;914
Illern;Blå;23;1036
Skogsmården;Blå;24;283
Ekorrsvansen;Blå;25;417
Renfållan;Grön;26;257
Familjebacken;Röd;27;703
Älgstråket;Röd;28;1181
Minkspåret;Röd;30;600
Lostupet;Svart;31;716
Snövesslan;Svart;32;894
Trollfallet;Svart;33;383
Grottbranten;Svart;34;429
Ormtungan;Blå;35;658
Blåvingen;Blå;40;310
Kläppen Blue line;Blå;41;330
